"resort","latitude","longitude","country","continent","price","season","highest_point","lowest_point","beginner_slopes","intermediate_slopes","difficult_slopes","total_slopes","longest_run","snow_cannons","surface_lifts","chair_lifts","gondola_lifts","total_lifts","lift_capacity","child_friendly","snowparks","nightskiing","summer_skiing","vertical_drop","beginner_percent","intermediate_percent","difficult_percent","price_clean","lift_capacity_clean","price_per_km","capacity_per_lift","terrain_score","vertical_score","lift_score","longest_run_score","affordability_score","value_score"
"Happo-One-Hakuba",36.7035607,137.8226173,"Japan","Asia",40,"December - May",1831,760,16,26,10,52,0,0,0,21,1,22,29100,"Yes","Yes","Yes","No",1071,30.76923076923077,50,19.230769230769234,40,29100,0.7692307692307693,1322.7272727272727,0.21580547112462006,0.5379939209726444,0.5653495440729484,0,0.8123076923076923,44.7
"Gitschberg Jochtal",46.82666885,11.6645207,"Italy","Europe",46,"December - April",1354,772,17,25,9,51,6,90,14,4,6,24,23617,"Yes","Yes","No","No",582,33.33333333333333,49.01960784313725,17.647058823529413,46,23617,0.9019607843137255,984.0416666666666,0.20364741641337386,0.1398176291793313,0.44984802431610943,0.6231003039513677,0.6492307692307693,35.6
"Schilthorn-Mu?rren-?Lauterbrunnen",46.55744425,7.892432481,"Switzerland","Europe",55,"December - April",2970,796,19,23,9,51,15,38,3,7,6,16,13852,"Yes","Yes","No","No",2174,37.254901960784316,45.09803921568628,17.647058823529413,55,13852,1.0784313725490196,865.75,0.20364741641337386,0.9756838905775076,0.19148936170212766,0.9787234042553191,0.3323076923076923,49.8
"Dachstein West",47.5149184,13.4498696,"Austria","Europe",42,"December - April",1620,780,15,33,3,51,4,163,25,8,3,36,32938,"Yes","Yes","Yes","No",840,29.411764705882355,64.70588235294117,5.88235294117647,42,32938,0.8235294117647058,914.9444444444445,0.20364741641337386,0.331306990881459,0.6322188449848024,0.45592705167173253,0.7692307692307692,43.8
"Cypress Mountain",49.3976802,-123.2011443,"Canada","North America",44,"November - April",1440,824,6,22,22,50,4,42,1,6,0,7,10300,"Yes","Yes","Yes","No",616,12,44,44,44,10300,0.88,1471.4285714285713,0.15501519756838905,0.1641337386018237,0.0729483282674772,0.45592705167173253,0.716923076923077,28.7
"Pila",45.7699441,8.0810802,"Italy","Europe",42,"November - April",1540,570,8,35,6,49,0,480,5,8,4,17,22154,"Yes","Yes","No","No",970,16.3265306122449,71.42857142857143,12.244897959183673,42,22154,0.8571428571428571,1303.1764705882354,0.1458966565349544,0.44376899696048633,0.42249240121580545,0,0.7692307692307692,37.2
"Brigels-?Waltensburg-?Andiast",46.7700497,9.067384,"Switzerland","Europe",49,"December - March",2418,1110,13,33,3,49,7,100,9,4,0,13,10030,"Yes","Yes","Yes","No",1308,26.53061224489796,67.3469387755102,6.122448979591836,49,10030,1,771.5384615384615,0.1458966565349544,0.723404255319149,0.0668693009118541,0.7112462006079028,0.5507692307692308,41.6
"Aprica",46.152697,10.151656,"Italy","Europe",38,"November - May",2270,1162,28,14,7,49,0,0,10,4,2,16,13965,"Yes","Yes","No","No",1108,57.14285714285714,28.57142857142857,14.285714285714285,38,13965,0.7755102040816326,872.8125,0.1458966565349544,0.5683890577507599,0.2006079027355623,0,0.8492307692307692,38.6
"Bormio-Cima Bianca",46.4397574,10.392453100000001,"Italy","Europe",40,"November - April",3012,1225,14,34,2,50,8,240,8,5,2,15,17630,"Yes","Yes","Yes","No",1787,28.000000000000004,68,4,40,17630,0.8,1175.3333333333333,0.15501519756838905,0.9148936170212766,0.3009118541033435,0.790273556231003,0.8123076923076923,56.2
"Sedrun-Oberalp",46.6652022,8.704905479,"Switzerland","Europe",53,"November - April",2300,1500,10,35,5,50,3,0,7,5,0,12,12100,"Yes","Yes","No","No",800,20,70,10,53,12100,1.06,1008.3333333333334,0.15501519756838905,0.2917933130699088,0.12158054711246201,0.4012158054711246,0.3846153846153846,25.5
"Grosseck-?Speiereck-Mauterndorf-?St. Michael",47.1217604,13.64406919,"Austria","Europe",41,"December - April",2400,1095,26,17,7,50,8,150,6,4,2,12,14286,"Yes","No","Yes","No",1305,52,34,14.000000000000002,41,14286,0.82,1190.5,0.15501519756838905,0.7203647416413373,0.2127659574468085,0.790273556231003,0.7907692307692308,49.6
"Hirmentaz-?Les Habe?res-Bellevaux-?Habe?re-Poche",46.2511455,6.517806672,"France","Europe",24,"December - March",1610,923,30,17,3,50,0,0,27,6,0,33,29480,"Yes","Yes","No","No",687,60,34,6,24,29480,0.48,893.3333333333334,0.15501519756838905,0.21580547112462006,0.574468085106383,0,0.9907692307692307,38.5
"Pragelato",45.0162171,6.9424531,"Italy","Europe",0,"December - April",2700,1335,14,32,4,50,0,0,4,1,0,5,3660,"Yes","No","No","No",1365,28.000000000000004,64,8,,3660,,732,0.15501519756838905,0.7659574468085106,0,0,,
"Porte? Puymorens",42.5488878,1.833462,"France","Europe",30,"September - April",2471,1600,21,20,9,50,0,70,5,4,0,9,7380,"Yes","Yes","No","No",871,42,40,18,30,7380,0.6,820,0.15501519756838905,0.3556231003039514,0.04559270516717325,0,0.96,33.4
"Mythenregion",47.0217081,8.723539208,"Switzerland","Europe",39,"December - March",1070,573,18,31,1,50,0,55,11,0,4,15,12592,"Yes","Yes","No","No",497,36,62,2,39,12592,0.78,839.4666666666667,0.15501519756838905,0.0911854103343465,0.13069908814589665,0,0.84,25.7
"Candanchu?",42.78888865,-0.52873445,"Spain","Europe",41,"December - April",2236,1514,15,18,15,48,0,0,19,6,0,25,19650,"Yes","No","No","No",722,31.25,37.5,31.25,41,19650,0.8541666666666666,786,0.13677811550151975,0.23708206686930092,0.3404255319148936,0,0.7907692307692308,31
"Zao Onsen",38.1679266,140.4003442,"Japan","Asia",39,"December - May",1661,780,20,20,10,50,0,0,0,38,4,42,50000,"Yes","Yes","No","No",881,40,40,20,39,50000,0.78,1190.4761904761904,0.15501519756838905,0.364741641337386,0.7750759878419453,0,0.84,42.2
"Lindvallen-?Ho?gfja?llet-Sa?len-",61.159705,13.193609,"Sweden","Europe",41,"November - May",887,579,22,17,3,42,5,0,49,4,0,53,50505,"Yes","Yes","Yes","No",308,52.38095238095239,40.476190476190474,7.142857142857142,41,50505,0.9761904761904762,952.9245283018868,0.060790273556231005,0.02735562310030395,0.7811550151975684,0.541033434650456,0.7907692307692308,35.5
"Jasna? Ni?zke Tatry-Chopok",48.966941,19.58101661,"Slovakia","Europe",39,"December - May",2004,943,19,17,7,43,6,527,19,8,5,32,35225,"Yes","Yes","Yes","No",1061,44.18604651162791,39.53488372093023,16.27906976744186,39,35225,0.9069767441860465,1100.78125,0.08206686930091185,0.5197568389057751,0.6595744680851063,0.6231003039513677,0.84,48.4
"Tanda?dalen-?Hundfja?llet-Sa?len-",61.1792462,12.9919443,"Sweden","Europe",41,"November - May",872,572,18,15,12,45,3,0,42,4,0,46,42636,"Yes","Yes","Yes","No",300,40,33.33333333333333,26.666666666666668,41,42636,0.9111111111111111,926.8695652173913,0.12462006079027356,0.02127659574468085,0.729483282674772,0.4012158054711246,0.7907692307692308,35
"Appi Kogen",40.0123954,140.9976755,"Japan","Asia",43,"Unknown",1328,500,13,18,13,44,0,0,2,14,2,18,23800,"Yes","No","No","No",828,29.545454545454547,40.909090909090914,29.545454545454547,43,23800,0.9772727272727273,1322.2222222222222,0.10638297872340426,0.3191489361702128,0.45592705167173253,0,0.7446153846153847,32.9
"Rusutsu",42.7374243,140.8754821,"Japan","Asia",45,"November - April",994,400,12,16,12,40,0,0,3,14,4,21,31128,"Yes","Yes","Yes","No",594,30,40,30,45,31128,1.125,1482.2857142857142,0,0.1458966565349544,0.6048632218844985,0,0.6799999999999999,26.3
"Steinplatte-?Winklmoosalm-Waidring-?Reit im Winkl",48.7329198,15.5705666,"Austria","Europe",46,"November - April",1860,740,18,22,2,42,12,107,3,9,2,14,31940,"Yes","Yes","No","No",1120,42.857142857142854,52.38095238095239,4.761904761904762,46,31940,1.0952380952380953,2281.4285714285716,0.060790273556231005,0.5866261398176292,0.6139817629179332,0.9422492401215805,0.6492307692307693,48.1
"Latemar-Obereggen-?Pampeago-?Predazzo",46.3563067,11.53719305,"Italy","Europe",47,"November - April",1540,1050,9,32,7,48,3,200,6,13,3,22,36540,"Yes","Yes","Yes","No",490,18.75,66.66666666666666,14.583333333333334,47,36540,0.9791666666666666,1660.909090909091,0.13677811550151975,0.08814589665653495,0.6747720364741642,0.4012158054711246,0.6030769230769231,32.5
"Mariborsko Pohorje-Maribor",46.5153389,15.5782311,"Slovenia","Europe",31,"December - March",1327,325,23,13,5,41,0,92,16,5,1,22,23436,"Yes","No","Yes","No",1002,56.09756097560976,31.70731707317073,12.195121951219512,31,23436,0.7560975609756098,1065.2727272727273,0.0425531914893617,0.48632218844984804,0.44680851063829785,0,0.9446153846153846,39
"El Colorado-?Farellones",-33.3398691,-70.2915752,"Chile","South America",64,"June - October",3333,2380,25,10,15,50,5,0,21,4,0,25,21500,"Yes","Yes","No","Yes",953,50,20,30,64,21500,1.28,860,0.15501519756838905,0.42249240121580545,0.41033434650455924,0.541033434650456,0.23076923076923073,31.4
"Praz de Lys-?Sommand-Taninges-?Mieussy-",46.15746735,6.569485327,"France","Europe",29,"December - April",1966,1240,22,16,6,44,0,60,18,6,0,24,26205,"Yes","Yes","No","No",726,50,36.36363636363637,13.636363636363635,29,26205,0.6590909090909091,1091.875,0.10638297872340426,0.24316109422492402,0.5167173252279635,0,0.9753846153846154,36.5
"Nozawa Onsen",36.91722415,138.4640226,"Japan","Asia",37,"November - April",1650,565,22,13,9,44,0,0,1,15,3,19,29772,"Yes","Yes","Yes","No",1085,50,29.545454545454547,20.454545454545457,37,29772,0.8409090909090909,1566.9473684210527,0.10638297872340426,0.547112462006079,0.5866261398176292,0,0.8707692307692307,43.1
"Kreischberg",47.0634486,14.03933,"Austria","Europe",44,"December - April",2118,868,17,16,9,42,7,110,7,4,3,14,18808,"Yes","Yes","No","No",1250,40.476190476190474,38.095238095238095,21.428571428571427,44,18808,1.0476190476190477,1343.4285714285713,0.060790273556231005,0.6656534954407295,0.331306990881459,0.7112462006079028,0.716923076923077,44.9
"Garmisch-Classic-Garmisch-Partenkirchen",47.4596073,11.07616628,"Germany","Europe",43,"December - April",2050,732,12,18,10,40,8,0,11,4,4,19,21090,"Yes","Yes","No","No",1318,30,45,25,43,21090,1.075,1110,0,0.7264437689969605,0.3951367781155015,0.790273556231003,0.7446153846153847,46.9
"Pizol-Bad Ragaz-?Wangs",46.979739,9.436717,"Switzerland","Europe",51,"December - April",510,490,14,21,8,43,9,62,5,4,2,11,12786,"Yes","Yes","Yes","No",20,32.55813953488372,48.837209302325576,18.6046511627907,51,12786,1.186046511627907,1162.3636363636363,0.08206686930091185,0.00303951367781155,0.13677811550151975,0.8571428571428571,0.46769230769230774,22.5
"SuperBesse-Puy de Sancy",45.506646,2.8594,"France","Europe",32,"December - April",1850,1300,30,9,4,43,0,299,16,5,1,22,21245,"Yes","Yes","Yes","No",550,69.76744186046511,20.930232558139537,9.30232558139535,32,21245,0.7441860465116279,965.6818181818181,0.08206686930091185,0.11550151975683891,0.4012158054711246,0,0.9292307692307692,30
"Palando?ken-Ejder 3200 World Ski Center-",39.5430157,42.9152472,"Turkey","Asia",0,"November - April",3176,2200,19,11,13,43,0,0,3,11,2,16,15390,"Yes","Yes","Yes","No",976,44.18604651162791,25.581395348837212,30.23255813953488,,15390,,961.875,0.08206686930091185,0.45288753799392095,0.23100303951367782,0,,
"Idre Fja?ll",61.8896064,12.8330743,"Sweden","Europe",40,"October - April",890,588,17,22,2,41,3,0,21,4,0,25,24760,"Yes","Yes","Yes","No",302,41.46341463414634,53.65853658536586,4.878048780487805,40,24760,0.975609756097561,990.4,0.0425531914893617,0.0243161094224924,0.48328267477203646,0.4012158054711246,0.8123076923076923,29.4
"Abetone-?Val di Luce",44.1314375,10.6306384,"Italy","Europe",30,"December - April",1892,1240,14,28,1,43,0,110,6,10,1,17,24056,"Yes","Yes","No","No",652,32.55813953488372,65.11627906976744,2.3255813953488373,30,24056,0.6976744186046512,1415.0588235294117,0.08206686930091185,0.18541033434650456,0.46504559270516715,0,0.96,33.3
"Gerlitzen",46.69476,13.9143318,"Austria","Europe",45,"December - April",1000,520,10,27,3,40,7,120,10,7,1,18,22220,"Yes","Yes","No","No",480,25,67.5,7.5,45,22220,1.125,1234.4444444444443,0,0.06990881458966565,0.425531914893617,0.7112462006079028,0.6799999999999999,28.8
"Are?ches-Beaufort-",45.66298915,6.566319098,"France","Europe",29,"December - April",2300,1050,15,20,15,50,0,45,9,5,0,14,14462,"Yes","Yes","No","No",1250,30,40,30,29,14462,0.58,1033,0.15501519756838905,0.6656534954407295,0.21580547112462006,0,0.9753846153846154,44
"Les Mosses-?La Le?cherette",46.3960939,7.1018391,"Switzerland","Europe",31,"December - April",1870,1445,10,30,0,40,0,0,14,0,0,14,10540,"Yes","No","No","No",425,25,75,0,31,10540,0.775,752.8571428571429,0,0.0486322188449848,0.0790273556231003,0,0.9446153846153846,21.3
"Cimone-Montecreto-?Sestola-?Le Polle",45.97985,11.0630167,"Italy","Europe",35,"November - April",1976,900,15,25,10,50,0,0,6,13,1,20,23746,"Yes","Yes","No","No",1076,30,50,20,35,23746,0.7,1187.3,0.15501519756838905,0.541033434650456,0.45288753799392095,0,0.8953846153846154,42.9
"Hoch-Ybrig-Unteriberg-?Oberiberg",47.01175015,8.787310015,"Switzerland","Europe",46,"December - April",1850,1035,15,30,5,50,5,0,8,5,1,14,16650,"Yes","Yes","No","No",815,30,60,10,46,16650,0.92,1189.2857142857142,0.15501519756838905,0.303951367781155,0.2735562310030395,0.541033434650456,0.6492307692307693,34.7
"Meran 2000",46.6655583,11.307125600000001,"Italy","Europe",39,"December - March",1609,648,12,25,3,40,5,0,3,5,2,10,9478,"Yes","Yes","No","No",961,30,62.5,7.5,39,9478,0.975,947.8,0,0.43465045592705165,0.06382978723404255,0.541033434650456,0.84,34
"Sulden am Ortler-Solda all'Ortles-",46.5090706,10.59678748,"Italy","Europe",41,"November - May",3250,1900,17,13,14,44,11,0,4,6,3,13,15418,"Yes","Yes","Yes","No",1350,38.63636363636363,29.545454545454547,31.818181818181817,41,15418,0.9318181818181818,1186,0.10638297872340426,0.756838905775076,0.24012158054711247,0.9118541033434651,0.7907692307692308,50.6
"Hinterstoder-Ho?ss",47.66612225,14.17403784,"Austria","Europe",44,"December - April",2000,600,12,18,10,40,7,267,15,2,2,19,18464,"Yes","Yes","No","No",1400,30,45,25,44,18464,1.1,971.7894736842105,0,0.790273556231003,0.3221884498480243,0.7112462006079028,0.716923076923077,46
"St. Jean Montclar",44.411775,6.3510526,"France","Europe",28,"December - April",2500,1350,25,20,5,50,0,0,10,4,0,14,13320,"Yes","No","No","No",1150,50,40,10,28,13320,0.56,951.4285714285714,0.15501519756838905,0.5927051671732523,0.1641337386018237,0,0.9815384615384616,41.6
"Port del Comte",42.1694417,1.5696298,"Spain","Europe",33,"Unknown",2310,1745,20,15,5,40,0,0,11,5,0,16,13750,"Yes","No","No","No",565,50,37.5,12.5,33,13750,0.825,859.375,0,0.12462006079027356,0.1884498480243161,0,0.92,24.3
"Tauplitz-Bad Mitterndorf",47.57728095,13.98478445,"Austria","Europe",41,"December - April",896,812,18,18,6,42,6,135,14,4,1,19,18525,"Yes","No","No","No",84,42.857142857142854,42.857142857142854,14.285714285714285,41,18525,0.9761904761904762,975,0.060790273556231005,0.0060790273556231,0.3282674772036474,0.6231003039513677,0.7907692307692308,28.9
"Tamarack Resort",44.6700061,-116.1225024,"United States","North America",59,"December - April",2347,1490,12,20,10,42,0,14,2,5,0,7,8700,"Yes","Yes","No","No",857,28.57142857142857,47.61904761904761,23.809523809523807,59,8700,1.4047619047619047,1242.857142857143,0.060790273556231005,0.3434650455927052,0.05167173252279635,0,0.30153846153846153,17.2
"Turracher Ho?he",46.91448535,13.87352444,"Austria","Europe",45,"November - May",2205,1400,14,24,3,41,3,220,12,5,1,18,18268,"Yes","Yes","Yes","No",805,34.146341463414636,58.536585365853654,7.317073170731707,45,18268,1.0975609756097562,1014.8888888888889,0.0425531914893617,0.3009118541033435,0.3161094224924012,0.4012158054711246,0.6799999999999999,31.2
"Guzet",42.7762455,1.3131615,"France","Europe",31,"December - March",2100,1100,20,14,6,40,0,100,11,4,0,15,11130,"Yes","Yes","No","No",1000,50,35,15,31,11130,0.775,742,0,0.47720364741641336,0.0851063829787234,0,0.9446153846153846,32.1
"Klewenalp-?Stockhu?tte-Beckenried-?Emmetten",46.9391136,8.4741614,"Switzerland","Europe",45,"December - April",1200,436,15,25,0,40,0,0,9,3,2,14,13394,"Yes","No","No","No",764,37.5,62.5,0,45,13394,1.125,956.7142857142857,0,0.26443768996960487,0.1702127659574468,0,0.6799999999999999,22.8
"Crystal Mountain-WA-",46.9281666,-121.504535,"United States","North America",63,"November - May",2137,1341,8,27,15,50,0,0,2,9,1,12,20500,"Yes","Yes","No","No",796,16,54,30,63,20500,1.26,1708.3333333333333,0.15501519756838905,0.2857142857142857,0.3617021276595745,0,0.24,22
"Torrent-Leukerbad",46.3728566,7.6541765,"Switzerland","Europe",46,"December - April",2610,1411,3,26,16,45,11,40,8,1,5,14,11390,"Yes","Yes","No","No",1199,6.666666666666667,57.77777777777777,35.55555555555556,46,11390,1.0222222222222221,813.5714285714286,0.12462006079027356,0.6291793313069909,0.09422492401215805,0.9118541033434651,0.6492307692307693,43
"Loon Mountain",44.5164518,-74.6496253,"United States","North America",73,"November - April",930,300,15,28,7,50,0,0,2,9,1,12,17034,"Yes","Yes","No","No",630,30,56.00000000000001,14.000000000000002,73,17034,1.46,1419.5,0.15501519756838905,0.1762917933130699,0.2857142857142857,0,0.15384615384615385,16.4
"Gra?chen",46.1960178,7.8421612,"Switzerland","Europe",48,"December - April",2864,1619,9,31,2,42,7,0,9,5,1,15,13860,"Yes","No","No","No",1245,21.428571428571427,73.80952380952381,4.761904761904762,48,13860,1.1428571428571428,924,0.060790273556231005,0.662613981762918,0.1945288753799392,0.7112462006079028,0.5753846153846154,39.9
