"resort","latitude","longitude","country","continent","price","season","highest_point","lowest_point","beginner_slopes","intermediate_slopes","difficult_slopes","total_slopes","longest_run","snow_cannons","surface_lifts","chair_lifts","gondola_lifts","total_lifts","lift_capacity","child_friendly","snowparks","nightskiing","summer_skiing","vertical_drop","beginner_percent","intermediate_percent","difficult_percent","price_clean","lift_capacity_clean","price_per_km","capacity_per_lift","terrain_score","vertical_score","lift_score","longest_run_score","affordability_score","value_score"
"Mount Snow",42.9589685,-72.9237112,"United States","North America",81,"November - April",1095,585,6,46,8,60,0,254,6,14,0,20,27000,"Yes","Yes","No","No",510,10,76.66666666666667,13.333333333333334,81,27000,1.35,1350,0.3009118541033435,0.10030395136778116,0.5349544072948328,0,0.13230769230769235,22.2
"Mount Washington",49.7528282,-125.2963912,"Canada","North America",64,"December - April",1588,1083,12,21,27,60,3,0,5,5,0,10,11620,"Yes","Yes","Yes","No",505,20,35,45,64,11620,1.0666666666666667,1162,0.3009118541033435,0.0972644376899696,0.10030395136778116,0.4012158054711246,0.23076923076923073,21.6
"Ponte di Legno-Passo ?Tonale-?Presena Glacier-?Temu?-Pontedilegno-Tonale-",46.258603,10.508662,"Italy","Europe",42,"October - May",3016,1121,10,40,9,59,11,0,7,19,4,30,49825,"Yes","Yes","Yes","No",1895,16.94915254237288,67.79661016949152,15.254237288135593,42,49825,0.711864406779661,1660.8333333333333,0.2978723404255319,0.9240121580547113,0.7720364741641338,0.9118541033434651,0.7692307692307692,68.1
"Gore Mountain",40.2235948,-106.6575409,"United States","North America",71,"November - April",1097,304,6,28,23,57,4,0,5,9,1,15,21000,"Yes","Yes","No","No",793,10.526315789473683,49.122807017543856,40.35087719298245,71,21000,1.2456140350877194,1400,0.2826747720364742,0.2826747720364742,0.3860182370820669,0.45592705167173253,0.16000000000000003,29.1
"Eggli-?La Videmanette-Gstaad-?Saanen-?Rougemont",47.291778,9.1733641,"Switzerland","Europe",54,"December - March",2151,992,35,17,5,57,0,0,8,4,5,17,15363,"Yes","No","No","No",1159,61.40350877192983,29.82456140350877,8.771929824561402,54,15363,0.9473684210526315,903.7058823529412,0.2826747720364742,0.6048632218844985,0.22796352583586627,0,0.3538461538461538,34.1
"Anze?re",46.2970711,7.3989488,"Switzerland","Europe",46,"December - April",2420,1500,12,37,9,58,0,120,10,3,1,14,12462,"Yes","Yes","No","No",920,20.689655172413794,63.793103448275865,15.517241379310345,46,12462,0.7931034482758621,890.1428571428571,0.2887537993920973,0.39209726443769,0.12462006079027356,0,0.6492307692307693,33.3
"Borovets",42.2668301,23.6074324,"Bulgaria","Europe",28,"December - April",2560,1300,24,29,5,58,12,160,8,4,2,14,15800,"Yes","Yes","Yes","No",1260,41.37931034482759,50,8.620689655172415,28,15800,0.4827586206896552,1128.5714285714287,0.2887537993920973,0.6778115501519757,0.24924012158054712,0.9422492401215805,0.9815384615384616,58.4
"Font-Romeu-?Bolque?re Pyre?ne?es 2000",42.5043981,2.0715162,"France","Europe",38,"December - April",2213,1650,30,19,9,58,0,535,15,8,1,24,27378,"Yes","Yes","No","No",563,51.724137931034484,32.758620689655174,15.517241379310345,38,27378,0.6551724137931034,1140.75,0.2887537993920973,0.12158054711246201,0.5379939209726444,0,0.8492307692307692,36.8
"Bre?vent-?Fle?ge?re-Chamonix-",45.9479384,6.868594877,"France","Europe",51,"December - April",2525,1030,11,25,20,56,6,0,6,8,5,19,26734,"Yes","Yes","No","No",1495,19.642857142857142,44.642857142857146,35.714285714285715,51,26734,0.9107142857142857,1407.0526315789473,0.2765957446808511,0.8267477203647416,0.5258358662613982,0.6231003039513677,0.46769230769230774,52.4
"Bretton Woods",44.2576311,-71.4413006,"United States","North America",76,"November - April",945,487,25,16,15,56,0,0,3,7,0,10,15406,"Yes","Yes","Yes","No",458,44.642857142857146,28.57142857142857,26.785714285714285,76,15406,1.3571428571428572,1540.6,0.2765957446808511,0.06382978723404255,0.23708206686930092,0,0.14769230769230768,16.4
"Les Houches-?Saint-Gervais-Prarion-?Bellevue-Chamonix-",45.891508,6.799138,"France","Europe",43,"December - April",1000,584,25,25,5,55,4,133,5,8,3,16,19859,"Yes","Yes","No","No",416,45.45454545454545,45.45454545454545,9.090909090909092,43,19859,0.7818181818181819,1241.1875,0.24012158054711247,0.0425531914893617,0.3465045592705167,0.45592705167173253,0.7446153846153847,32.9
"Ylla?s",67.5647092,24.2246252,"Finland","Europe",42,"November - May",718,200,21,28,6,55,3,36,27,1,1,29,28284,"Yes","Yes","Yes","No",518,38.18181818181819,50.90909090909091,10.909090909090908,42,28284,0.7636363636363637,975.3103448275862,0.24012158054711247,0.1033434650455927,0.5562310030395137,0.4012158054711246,0.7692307692307692,37.5
"Belvedere-?Col Rodella-?Ciampac-?Buffaure-Canazei-?Campitello-?Alba-?Pozza di Fassa",45.6850704,11.7729604,"Italy","Europe",48,"December - April",2428,1320,7,40,7,54,6,0,11,18,10,39,56216,"Yes","Yes","Yes","No",1108,12.962962962962962,74.07407407407408,12.962962962962962,48,56216,0.8888888888888888,1441.4358974358975,0.23404255319148937,0.5683890577507599,0.8085106382978723,0.6231003039513677,0.5753846153846154,51.1
"Revelstoke Mountain Resort",50.9692628,-118.1092086,"Canada","North America",64,"December - April",2225,512,16,18,21,55,15,0,2,2,7,11,9200,"Yes","Yes","No","No",1713,29.09090909090909,32.72727272727273,38.18181818181819,64,9200,1.1636363636363636,836.3636363636364,0.24012158054711247,0.8936170212765957,0.0547112462006079,0.9787234042553191,0.23076923076923073,44.8
"Lauchernalp-Lo?tschental",46.41274665,7.774925326,"Switzerland","Europe",48,"April",3111,1419,20,17,18,55,10,28,2,2,2,6,6800,"Yes","Yes","No","No",1692,36.36363636363637,30.909090909090907,32.72727272727273,48,6800,0.8727272727272727,1133.3333333333333,0.24012158054711247,0.8875379939209727,0.02127659574468085,0.8814589665653495,0.5753846153846154,50
"Grossglockner Heiligenblut",47.0745464,12.6938826,"Austria","Europe",44,"December - April",2989,1301,20,34,1,55,7,60,8,1,4,13,12500,"Yes","No","No","No",1688,36.36363636363637,61.81818181818181,1.8181818181818181,44,12500,0.8,961.5384615384615,0.24012158054711247,0.8844984802431611,0.1276595744680851,0.7112462006079028,0.716923076923077,52.7
"Brandnertal-Brand-?Bu?rserberg",47.119176,9.7578764,"Austria","Europe",46,"December - April",2000,904,22,30,3,55,5,82,6,6,3,15,18963,"Yes","Yes","Yes","No",1096,40,54.54545454545454,5.454545454545454,46,18963,0.8363636363636363,1264.2,0.24012158054711247,0.5531914893617021,0.3343465045592705,0.541033434650456,0.6492307692307693,44.4
